subID,blocknum,contrast,muscle_used,perf,rt,evshowtime,respLR,corrLR,TiltSSVEP
1,1,0.07,44,1,1.39396319999923,1.6017523999999,2,2,1
1,1,0.14,44,1,0.747300499999255,0.953893599999901,1,1,1
1,1,0.14,44,1,0.909925300000396,1.11886420000064,1,1,2
1,1,0.07,44,1,1.06349060000048,1.27227240000047,2,2,2
1,1,0.14,44,1,1.35796650000066,1.56620139999995,2,2,1
1,1,0.14,44,1,1.04113060000054,1.24855389999993,1,1,1
1,1,0.14,44,1,0.874402399999781,1.08363319999989,2,2,2
1,1,0.14,44,2,0.772329700000228,0.977394500000628,1,2,1
1,1,0.14,44,1,1.20441679999931,1.41321059999973,1,1,2
1,1,0.07,44,1,1.31044950000069,1.5191463000001,1,1,2
1,1,0.07,44,6,1.88772279999921,2.01414299999942,2,2,2
1,1,0.07,44,1,1.2752461,1.4839978,1,1,2
1,1,0.07,44,1,1.36943659999997,1.57818510000016,2,2,2
1,1,0.14,44,1,1.40531229999942,1.61365639999985,1,1,2
1,1,0.14,4,1,0.780929000000469,0.989299500000016,2,2,1
1,1,0.14,4,1,0.780904300000657,0.989263600000413,1,1,2
1,1,0.07,4,6,1.64074260000052,1.84916120000071,2,2,1
1,1,0.07,4,1,0.757027999999991,0.96568329999991,2,2,1
1,1,0.07,4,6,1.74619059999986,1.95488560000013,2,2,1
1,1,0.07,4,2,0.863188199999968,1.07176510000045,1,2,2
1,1,0.07,4,2,0.639491900000394,0.84805200000028,2,1,1
1,1,0.07,4,1,1.25190049999946,1.46043819999977,1,1,2
1,1,0.07,4,1,1.26343869999982,1.47217189999992,2,2,1
1,1,0.07,4,2,1.10998600000039,1.3192265000007,1,2,2
1,1,0.14,4,1,0.839748599999439,1.04812369999945,2,2,2
1,1,0.07,4,2,0.21705110000039,0.800965899999937,1,2,1
1,1,0.14,4,1,0.839381900000262,1.04801489999954,2,2,2
1,1,0.14,4,1,1.12213530000008,1.33093310000004,2,2,1
1,1,0.07,4,1,0.992428999999902,1.20132290000038,2,2,2
1,1,0.14,4,1,0.706112799999573,0.906962199999725,1,1,2
1,1,0.07,44,1,0.697928199999296,0.906662599999436,1,1,2
1,1,0.14,44,6,1.56952480000018,1.77850269999999,2,2,2
1,1,0.07,44,1,1.32231189999948,1.53114679999999,1,1,1
1,1,0.14,44,1,1.29886799999986,1.50755800000024,2,2,2
1,1,0.14,44,1,0.643194199999925,0.848137299999507,1,1,1
1,1,0.14,44,2,0.450300399999833,0.800863999999819,2,1,2
1,1,0.14,44,1,1.19358180000017,1.40195889999995,2,2,1
1,1,0.07,44,6,1.59296499999982,1.8019647000001,1,1,1
1,1,0.14,44,1,0.747473499999614,0.953975700000228,2,2,1
1,1,0.07,44,2,1.02824150000015,1.23678219999965,1,2,2
1,1,0.14,44,6,1.51115239999945,1.71937029999935,1,1,2
1,1,0.07,44,1,1.25150300000041,1.46054519999961,1,1,2
1,1,0.14,44,2,1.12181860000055,1.33088260000022,2,1,2
